0️⃣	клавіша: 0	0|клавіша|нуль
🤼	борці	бій|борець|боротьба|борці|двобій|дуель|людина|поєдинок|спорт|турнір із вільної боротьби
🤼‍♀️	борчиня	бій|боротися|боротьба|борці|двобій|жінка|на рингу|поєдинок|спорт|турнір
🤼‍♂️	борець	борець|боротися|боротьба|двобій|дуель|людина|поєдинок|спорт|турнір із вільної боротьби|чоловік
🤽	людина, що грає у ватерполо	вода|водне поло|водний спорт|людина|людина, що грає у ватерполо|плавання|поло|спорт|що грає у ватерполо
🤽‍♀️	ватерполістка	ватерполістка|водне поло|водний спорт|жінка|жінка грає у водне поло|людина|плавання|поло|спорт
🤽‍♂️	ватерполіст	ватерполіст|водне поло|водний спорт|людина|плавання|поло|спорт|чоловік|чоловік грає у водне поло
🤾	людина, що грає у гандбол	гандбол|кидок|ловити|людина|людина, що грає у гандбол|м’яч|перекидати мʼяч|подача|спорт|що грає у гандбол
🤾‍♀️	гандболістка	гандбол|гандболістка|жінка|кидок|мʼяч|перекидати мʼяч|подача|спорт|спортсменка
🤾‍♂️	гандболіст	гандбол|гандболіст|гол|гра|змагання|спорт|чоловік
🤿	маска з трубкою	акваланг|дайвінг|занурення|маска з трубкою|маска і ласти|маска і трубка|підводне плавання|сноркелінг
🥀	привʼяла троянда	завʼяла троянда|зів’яла|зів’яла троянда|квітка|привʼяла троянда
🥁	барабан	барабан|музика|палички
🥂	дзвін бокалів	бокалів|будьмо|дзвін|напій|Новий рік|святкування
🥃	бокал віскі	алкоголь|бокал|віскі|напій|спиртне|стакан віскі
🥄	ложка	ложка|прибори|столові прибори
🥅	сітка воріт	ворота|сітка|сітка воріт|спорт
🥇	золота медаль	золота медаль|золото|медаль|місце|перше
🥈	срібна медаль	друге|медаль|місце|срібло|срібна медаль
🥉	бронзова медаль	бронза|бронзова медаль|медаль|місце|спорт|третє
🥊	боксерська рукавичка	бокс|боксерська рукавичка|нокаут|нокдаун|рукавичка|спорт
🥋	одяг для єдиноборств	бойові мистецтва|дзюдо|карате|кімоно|одяг для єдиноборств|тхеквондо|уніформа|форма|чорний пояс
🥌	камʼяна шайба для керлінгу	гра|камʼяна шайба для керлінгу|камінь|камінь для керлінга|керлінг|спорт
🥍	стік для лакросу	гол|лакрос|м’яч|палиця|ракетка|спорт|стік|стік для лакросу
🥎	софтбольний мʼяч	бейсбол|битка|м’яч|рукавиця|рукавичка|софт|софтбол|софтбольний мʼяч|спорт
🥏	літаючий диск	алтимат|диск|кидок|летючий диск|літаючий диск|тарілка|фризбі|фрізбі
🥐	круасан	булочний виріб|звій півмісяцем|їжа|круасан|пекарня|сніданок|Франція|французький
🥑	авокадо	авокадо|їжа|плід
🥒	огірок	їжа|корнішон|овоч|огірок
🥓	бекон	бекон|їжа|м’ясо
🥔	картопля	їжа|картопля|овоч
🥕	морква	заяць|заяча їжа|їжа|морква|морквина|овоч
🥖	багет	багет|булка|випічка|їжа|франція|французький|хліб
🥗	зелений салат	дієта|здорове харчування|зелений|їжа|салат
🥘	каструля з їжею	їжа|каструля|каструля з їжею|плов|рагу|суп
🥙	піта	їжа|кебаб|лаваш|лаваш із начинкою|начинка|піта|фалафель
🥚	яйце	Великдень|їжа|яйце
🥛	склянка молока	молоко|напій|склянка|склянка молока
🥜	арахіс	арахіс|горіх|земляний горіх|їжа|їстівний
🥝	ківі	їжа|ківі|плід|фрукт
🥞	млинці	їжа|креп|крепи|млинець|млинці|налисник|налисники|сніданок
🥟	вареник	вареник|вушко|галушка|їжа|пельмень|пиріжок|пироги
🥠	печиво з передбаченням	печиво з передбаченням|печиво з повідомленням|печиво-пророцтво|пророцтво
🥡	коробка з їжею на винос	доставка їжі|їжа|коробка з їжею на винос|коробка з китайською їжею|палички для їжі
🥢	палички для їжі	куайцзи|о-хасі|палички|палички для їжі|хаші|чоккарак
🥣	миска з ложкою	борщ|злаки|їжа|миска з ложкою|піала|рисова каша|сніданок|суп
🥤	стакан із соломинкою	напій|одноразовий стакан|сік|содова|соломинка|соломка|трубочка
🥥	кокос	відпустка|кокос|пальма|Піна-Колада|пінья колада|тропіки
🥦	броколі	броколі|їжа|кучерява|овоч|цвітна капуста
🥧	пиріг	випічка|десерт|начинка|пиріг
🥨	крендель	бублик|випічка|кренделик|крендель|прецель|сплетений
🥩	мʼясний філей	бараняча відбивна|їжа|котлета|мʼясний філей|мʼясо|свиняча котлета|стейк
🥪	сандвіч	їжа|сандвіч|сендвіч|хліб
🥫	консерви	банка|консерви|консервовані томати
🥬	листя салату	бок-чой|бурґери|зелені листки|зелень|капуста|кель|латук|листок|листя|листя салату|салат
🥭	манго	їжа|манго|плід|тропічний|фрукт|шейкер
🥮	мункейк	Азія|місячний пиріг|місячний пряник|мункейк|осінь|пиріжок|повний місяць|свято|фестиваль|юебін
🥯	бейгл	багель|бейгл|бублик|булочка|випічка|десерт|начинка|пампух|пончик|сніданок
🥰	усміхнене обличчя із сердечками	закоханість|кохання|любов|ніжність|обличчя|сердечка|серця|симпатія|усмішка|я кохаю тебе
🥱	обличчя, що позіхає	добраніч|заспаний|знуджений|ніч|обличчя|обличчя, що позіхає|позіхає|позіхайло|позіхати|сон|стомлений|хоче спати|що позіхає
🥲	усмішка в сльозах	вдячність|гордість|зворушення|плач|полегшення|посмішка|розчулений|сльоза|смайл|усмішка
🥳	святкове обличчя	вечірка|вітання|день народження|дудка|збуджений|капелюх|ковпак|обличчя|радість|ріжок|святкове обличчя|святкування|свято|схвильований|трубочка
🥴	очманіле обличчя	дурман|запаморочення|захмелілий|інтоксикація|кайф|косі очі|одурманений|очі розбігаються|очманіле обличчя|п’яний|язик заплітається
🥵	розпашіле обличчя	висолоплений язик|гаряче|гарячий|гарячка|жар|задуха|обличчя|палати|піт|помирає|розпашіле обличчя|сонячний удар|спека|тепловий удар|червоне лице|червонощокий
🥶	замерзле обличчя	бурулька|замерзле обличчя|замерзлий|зуб на зуб|мороз|обмороження|посинілий від холоду|синє лице|синє обличчя|холод|цокотить зубами
🥷	ніндзя	боєць|вбивця|воїн|крадькома|людина|маска|найманець|невидимка|покрадьки|потайки
🥸	замасковане обличчя	вуса|вусань|замасковане обличчя|інкогніто|камуфляж|людина|маска|накладний ніс|накладні вуса|ніс|обличчя|окуляри|шпигун
🥹	обличчя, що ледве стримує сльози	будь ласка|вдячність|гордість|мило|обличчя|пишаюся|плач|радості|сльози|сум|схвильований|щастя
🥺	благальне обличчя	благання|будь ласка|великі|випрошувати|жалібне|жалісливе|молити|обличчя|очі|просити|прохання|сумно|щенячі очі
🥻	сарі	вбрання|одяг|сарі
🥼	лабораторний халат	білий халат|вчений|доктор|експеримент|лабораторний халат|лікар|науковець|одяг
🥽	захисні окуляри	дайвінг|захисні окуляри|захист|захист очей|зварювання|маска для дайвінгу|маска для плавання|окуляри|плавання|скуба
🥾	похідні черевики	взуття|гірські|дорожні|коричневе|похід|табір|трекінгові|туристичні|хайкінг|чоботи
🥿	туфлі без підборів	балерини|балетки|кеди|сліпони|тапочки|туфлі|туфлі без каблука|туфлі без підборів|човники
🦀	краб	зодіак|краб|рак
🦁	лев	знак|зодіак|лев|лев’яча морда|морда|морда лева|тварина|хижак
🦂	скорпіон	зодіак|скорпіон
🦃	індик	індик|індичка|птах
🦄	єдиноріг	голова|єдиноріг|казковий|морда
🦅	орел	орел|птах|хижак
🦆	качка	качка|птах
🦇	кажан	вампір|кажан|тварина
🦈	акула	акула|риба
🦉	сова	безсоння|мудрість|ніч|пізно|птах|сова
🦊	лис	лис|лисиця|лисича|лисяча|морда|тварина|хитрий
🦋	метелик	гарний|комаха|метелик
🦌	олень	олень|рога|тварина
🦍	горила	горила|мавпа|тварина
🦎	ящірка	плазун|рептилія|ящірка
🦏	носоріг	носоріг|сафарі|тварина
🦐	креветка	їжа|креветка|морепродукт
🦑	кальмар	їжа|кальмар|молюск
🦒	жирафа	жирафа|плями|тварина
🦓	зебра	зебра|смуга|тварина
🦔	їжак	голчастий|їжак|колючий|колючки
🦕	завропод	апатозавр|брахіозавр|бронтозавр|динозавр|диплодок|завропод|зауропод
🦖	тиранозавр	Динозавр|тиранозавр|Тиранозавр|тиранозавр королівський|Тиранозавр Рекс
🦗	цвіркун	жук|комаха|коник|кукарача|тарган|цвіркун
🦘	кенгуру	Австралія|кенгуру|кенгурятко|стрибати|стрибок|сумка|сумчастий|сумчасті|тварина|торбун
🦙	лама	альпака|вікунья|вовна|гуанако|лама|тварина|хутро|шерсть
🦚	павич	зарозумілий|кольоровий|красива|пава|павлін|птах|тварина|фазан|хвалькуватий|хвіст
🦛	бегемот	бегемот|гіпопотам|ссавець|тварина
🦜	папуга	ара|балакучий|папуга|папужка|пірат|птах|птаха|розмовляє|тварина
🦝	єнот	єнот|полоскун|ракун|тварина|хитрий|цікавий|шибеник
🦞	омар	біск|дари моря|клешні|лобстер|морепродукти|омар|рак|раковий суп|тварина|червоний лобстер
🦟	комар	вірус|гарячка|комар|комаха|малярія|москіт|укус|хвороба
🦠	мікроб	амеба|бактерії|бактерія|вірус|мікроб|мікроби|мікроорганізм|наука|хвороба
🦡	борсук	борсук|куницеві|медоїд|мустелові|ссавець|тварина|хутро
🦢	лебідь	гидке качення|гидке каченя|лебеденя|лебідь|озеро|птах|птаха|тварина
🦣	мамонт	бивень|великий|вимирання|волохатий|кам’яний вік|мамонт|тварина
🦤	дронт	великий|вимирання|додо|дронт|маврикійський|птах|тварина
🦥	лінивець	ледачий|лінивець|лінивий|млявий|повільний|тварина
🦦	видра	видра|водяний звір|грайливий|рибалка|тварина
🦧	орангутанг	антропоїд|людиноподібна|мавпа|орангутанг|примат|тварина
🦨	скунс	скунс|смердіти|сморід|тварина|тхнути
🦩	фламінго	птах|рожевий|тропіки|тропічний|фламінго
🦪	устриця	мушля|перли|перлина|устриця|устричний
🦫	бобер	бобер|бобри|боброва|бобровидні|гребля|гризти|зубатий|зуби|тварина
🦬	бізон	бізон|буйвол|зубр|рогата тварина|роги|свійська тварина|стадо|тварина|худоба
🦭	тюлень	арктика|морський котик|морський лев|океан|тварина|тюлень
🦮	собака-поводир	для незрячих|доступність|поводир|собака-поводир|спеціальні можливості
🦯	тактильна тростина	доступність|незрячі|незрячість|сліпота|спеціальні засоби|тактильна тростина
🦴	кістка	кальцій|кістка|кісточка|кості|скелет|собака|собачі ласощі
🦵	нога	зігнута нога|кінцівка|коліно|копняк|нога|стегно|стопа|удар ногою
🦶	ступня	гомілка|ніжка|нога|стопа|стопи|ступня|удар
🦷	зуб	білий|дантист|зуб|зуби|стоматолог
🦸	супергерой	героїня|герой|добрий|добро|супергерой|супермен|суперсила|суперсили
🦸‍♀️	жінка-супергерой	герой|добро|жінка|жінка-супергерой|супер|супервумен
🦸‍♂️	чоловік-супергерой	герой|добро|суперсила|чоловік|чоловік-супергерой
🦹	суперзлодій	зло|злодій|злочинець|лихий|лиходій|поганий|суперзлодій|суперзлочинець|суперлиходій|суперсила
🦹‍♀️	суперлиходійка	жінка|зло|злодій|злочинець|суперлиходійка|суперсила
🦹‍♂️	суперлиходій	зло|злодій|злочинець|суперлиходій|суперсила|чоловік
🦺	сигнальний жилет	аварійно-захисний|аварійно-рятувальний|жилет|сигнальний жилет
🦻	вухо зі слуховим апаратом	вади слуху|вухо зі слуховим апаратом|доступність|слуховий апарат|спеціальні можливості
🦼	колісний візок з електроприводом	доступність|колісний візок з електроприводом|спеціальний засіб|спеціальні можливості
🦽	колісний візок із ручним приводом	доступність|колісний візок із ручним приводом|обмежені можливості|спеціальний засіб
🦾	механічна рука	доступність|механічна рука|протез|спеціальні можливості
🦿	механічна нога	доступність|механічна нога|протез|спеціальні можливості
🧀	кусень сиру	їжа|кусень сиру|сир|шматок сиру
🧁	капкейк	випічка|десерт|капкейк|кекс|ласощі|посипка|смаколик|солодке|солодощі|тістечко|торт
🧂	сіль	аромат|приправа|сварка|сіль|сільниця|сільничка|смак|солоний|спеції
🧃	пакетик із напоєм	картонний|напій|пакет|пакетик із напоєм|сік|соломинка|фруктовий сік
🧄	часник	їжа|приправа|спеції|часник|часниковий
🧅	цибуля	з цибулі|їжа|приправа|спеції|цибулинний|цибуля
🧆	фалафель	кулька з нуту|нут|фалафель
🧇	вафля	вафельний|вафлі|вафля|десерт|їжа|сніданок|солодощі
🧈	масло	масло|молочні продукти
🧉	мате	калабас|мате|напій|чай із падуба
🧊	кубик льоду	айсберг|кубик|кубик льоду|охолоджувати|холод|холодний
🧋	бульбашковий чай	бульбашковий|коктейль|молочний|напій|перловий|соломинка|тайвань|чай|чай з бульбашками
🧌	троль	казка|монстр|тролінг|троль|фентезі
🧍	людина, що стоїть	людина|людина, що стоїть|стояння|стояти|стоячи|стоячки|що стоїть
🧍‍♀️	жінка, що стоїть	жінка|жінка, що стоїть|стоїть|стоячи|стоячки|що стоїть
🧍‍♂️	чоловік, що стоїть	стоїть|стоячи|стоячки|чоловік|чоловік, що стоїть|що стоїть
🧎	людина навколішках	коліна|людина навколішках|на колінах|навколішках|опускатися навколішки
🧎‍♀️	жінка навколішках	жінка|коліна|на колінах|навколішках|навколішки
🧎‍♂️	чоловік навколішках	коліна|на колінах|навколішках|навколішки|чоловік
🧏	людина з порушенням слуху	вада слуху|глухота|доступність|людина з порушенням слуху|слух|спеціальні можливості|чути
🧏‍♀️	жінка з порушенням слуху	глуха|глухота|жінка|жінка з порушенням слуху|обмежені можливості|слух
🧏‍♂️	чоловік із порушенням слуху	глухий|глухота|обмежені можливості|слух|чоловік|чоловік із порушенням слуху
🧐	обличчя в моноклі	збільшувальне скло|лупа|монокль|обличчя в моноклі|обличчя з моноклем|пановитий|придивлятися
🧑	людина	гендерно-нейтральний|дорослий|людина|неозначеної статі|хлопець|хлопчик
🧑‍⚕️	медик	лікар|медик|медицина|медсестра|терапевт
🧑‍⚖️	суддя	суддя|терези
🧑‍✈️	авіапілот	авіапілот|літак|пілот
🧑‍🌾	селянин	землероб|садівник|селянин|скотар
🧑‍🍳	куховар	кухар|куховар|шеф
🧑‍🍼	людина годує дитину	батьківство|батько|годування|годувати немовля|дитина|догляд|людина|людина годує дитину|мама|мати|немовля|тато
🧑‍🎄	Мікс Клаус	Клаус|людина|Мікс Клаус|різдво|Різдво|різдвяні свята|санта|свято|шапка санти
🧑‍🎓	слухач	випускник|слухач|студент
🧑‍🎤	вокаліст	актор|артист|вокаліст|зірка|рок|співак
🧑‍🎨	художник	митець|палітра|художник
🧑‍🏫	освітянин	викладач|інструктор|освітянин|учитель
🧑‍🏭	фабричний працівник	завод|конвеєр|промисловість|робітник|фабричний працівник
🧑‍💻	технічний працівник	винахідник|програміст|програмне забезпечення|розробник|технічний працівник|технолог
🧑‍💼	офісний працівник	архітектор|бізнес|білий комірець|менеджер|офісний працівник
🧑‍🔧	фахівець із механіки	електрик|майстер|механік|сантехнік|фахівець із механіки
🧑‍🔬	науковий працівник	біолог|інженер|науковець|науковий працівник|фізик|хімік
🧑‍🚀	космонавт	космонавт|ракета
🧑‍🚒	вогнеборець	вогнеборець|пожежна машина|пожежник
🧑‍🤝‍🧑	люди, що тримаються за руки	люди|люди, що тримаються за руки|людина|пара|рука|руки|тримати|тримаються|що тримаються за руки
🧑‍🦯	людина з тактильним ціпком	біла|білий|доступність|незрячі|спеціальні можливості|тростина|ціпок
🧑‍🦼	людина на моторизованому візку	колісне крісло|людина на моторизованому візку|спеціальні можливості
🧑‍🦽	людина у візку з ручним керуванням	колісне крісло|людина у візку з ручним керуванням|спеціальні можливості
🧑‍🧑‍🧒	родина: дорослий, дорослий, дитина	дитина|дорослий|родина з дитиною|родина: двоє дорослих і дитина|родина: дорослий|родина: дорослий, дорослий, дитина
🧑‍🧑‍🧒‍🧒	родина: двоє дорослих і двоє дітей	двоє дорослих і двоє дітей|родина: двоє дорослих і двоє дітей|родина: дорослі та діти
🧑‍🧒	родина: дорослий і дитина	родина: дорослий і дитина
🧑‍🧒‍🧒	родина: дорослий і діти	родина: дорослий і двоє дітей|родина: дорослий і діти
🧑‍🩰	танцівник балету	балет|танцівник|танцівниця
🧒	дитина	весело|гендерно-нейтральний|дитина|людина|малеча|неозначеної статі|сміх
🧓	літня людина	гендерно-нейтральний|дідусь|дорослий|літня людина|людина|неозначеної статі|старий|старша людина|чоловік
🧔	людина з бородою	борода|бородань|бородатий|людина з бородою
🧔‍♀️	жінка з бородою	борода|бородатий|жінка з бородою
🧔‍♂️	чоловік із бородою	борода|бородатий|чоловік із бородою
🧕	жінка в хустині	жінка в хустині|мантилья|монахиня|тихля|хіджаб|хустина
🧖	людина в паркому приміщенні	людина в лазні|людина в паркому приміщенні|парильня|релакс|сауна|хамам
🧖‍♀️	жінка в паркому приміщенні	жінка в лазні|жінка в паркому приміщенні|парильня|сауна
🧖‍♂️	чоловік у паркому приміщенні	парильня|сауна|чоловік у лазні|чоловік у паркому приміщенні
🧗	людина, що лізе скелею	альпінізм|альпініст|альпіністка|лізти вгору|людина|людина, що лізе скелею|скелелаз|що лізе скелею
🧗‍♀️	жінка-скелелаз	жінка-скелелаз|скелелаз
🧗‍♂️	чоловік-скелелаз	скелелаз|чоловік-скелелаз
🧘	людина в позі лотоса	дзен|йога|людина в позі лотоса|медитація|нірвана|поза лотоса|релакс|схрещені ноги
🧘‍♀️	жінка в позі лотоса	жінка в позі лотоса|йога|медитація
🧘‍♂️	чоловік у позі лотоса	йога|медитація|поза лотоса|чоловік у позі лотоса
🧙	маг	відьма|Гендольф|маг|магія|Старік-Хотабич|чаклун|чаклунка|чарівник|чародій
🧙‍♀️	чаклунка	відьма|чаклунка|чародійка
🧙‍♂️	чаклун	чаклун|чародій
🧚	фея	казка|крила|метелик|Оберон|Пак|Титанія|фея
🧚‍♀️	жінка-фея	жінка-фея|Титанія
🧚‍♂️	чоловік-фея	Оберон|Пак|чоловік-фея
🧛	вампір	вампір|Дракула|костюм|нечиста сила|нечисть|опир|погань|упир|Хелловін
🧛‍♀️	жінка-вампір	жінка-вампір|упириця
🧛‍♂️	чоловік-вампір	вампір|Дракула|упир|чоловік-вампір
🧜	казкова водяна істота	водяна істота|жінка-русалка|казкова водяна істота|людина-русалка|морські створіння|русалка|Сирена|фольклор|чоловік-русалка
🧜‍♀️	русалка	жінка-русалка|русалка
🧜‍♂️	чоловік-русалка	Тритон|чоловік-русалка
🧝	ельф	ельф|казка|Леголас|магічний|чаклун
🧝‍♀️	жінка-ельф	жінка-ельф|чарівна
🧝‍♂️	чоловік-ельф	чарівний|чоловік-ельф
🧞	джин	бажання|джин|казкова лампа|міфічний|примха|чарівна лампа
🧞‍♀️	жінка-джин	джин|жінка-джин
🧞‍♂️	чоловік-джин	джин|чоловік-джин
🧟	зомбі	жах|живий мрець|зобмі|зомбі|монстр|нечисть|хеллоуін
🧟‍♀️	жінка-зомбі	живий мрець|жінка-зомбі|зомбі|нечисть|упириця
🧟‍♂️	чоловік-зомбі	живий мрець|зомбі|упир|чоловік-зомбі
🧠	мозок	інтелект|інтелектуал|мізки|мозок|розум|розумна|розумний
🧡	оранжеве серце	кохання|оранжеве серце|помаранчевий|серце
🧢	бейсболка	бейсболка|бейсбольна кепка|капелюх|кашкет|кепка
🧣	шарф	зима|зимно|шалик|шарф|шия
🧤	рукавички	рука|рукавиця|рукавички
🧥	пальто	зима|зимно|куртка|пальто|пуховик|холодно
🧦	шкарпетки	панчохи|шкарпетки
🧧	червоний конверт	гроші|конверт|лист|на щастя|подарунок|хунбао|червоний конверт
🧨	петарда	вибух|вибухівка|вогонь|динаміт|іскри|салют|феєрверк|хлопавка
🧩	елемент пазла	головоломка|елемент пазла|з’єднання|пазл|підказка|розгадка|скдладанка|частина|шматок
🧪	пробірка	дослід|експеримент|лабораторія|наука|пробірка|хімік|хімія
🧫	чашка Петрі	бактерії|бактерія|біолог|біологія|культура|лабораторія|чашка петрі|чашка Петрі
🧬	ДНК	біолог|біологія|ген|генетика|днк|ДНК|еволюція|життя|спіраль
🧭	компас	компас|магнетизм|магніт|магнітний|навігація|напрямок|орієнтування|сторони світу
🧮	рахівниця	абак|обчислення|обчислювальний пристрій|рахівниця|рахувати
🧯	вогнегасник	вогнегасник|вогонь|гасити|пожежа|тушити|тушіння
🧰	скриня для інструментів	інструмент|інструменти|коробка|механік|механіка|набір інструментів|скриня|скриня для інструментів|скриня з інструментами|червона скриня
🧱	цегла	будівельний розчин|глина|розчин|стіна|цегла|цеглина|цеглини
🧲	магніт	u-подібний|магнетизм|магніт|північний-південний|підкова|позитивний-негативний|притягання|притягувати|тяжіння
🧳	багаж	багаж|валіза|пакувати|подорож|торба на коліщатках|чемодан
🧴	лосьйон	бальзам|зволожувач|крем від засмаги|лосьйон|пляшка лосьйону|сонцезахисний крем|шампунь
🧵	нитка	голка|жилка|котушка|нитка|пряжа|шиття|шпулька
🧶	пряжа	в’язання|клубок|моток|мотузка|нитка|нитки|прядиво|пряжа
🧷	англійська шпилька	англійська шпилька|булавка|від навроків|панк-рок|шпилька
🧸	ведмедик	ведмедик|ведмедик тедді|іграшка|м’яка іграшка|плюш|плюшева іграшка|плюшевий ведмедик
🧹	мітла	відьма|віник|замітання|мітла|підмітати|прибирання|прибирати
🧺	кошик	білизна|корзина|кошик|пікнік|прання|урожай|ферма
🧻	рулон паперу	паперові рушники|папір|рулон паперу|туалет|туалетний папір
🧼	мило	брусок|бульбашки|ванна|купання|купатися|мило|мильниця|митися|миття|туалетне мило|чистий|чистити|шкіра
🧽	губка	губка|мочалка|поглинання|поглинати|пори|пористий|поролон|прибирання|чистити
🧾	квитанція	бухгалтерія|доказ|документ|інвойс|квитанція|рахунок|рахунок-фактура|фактура|чек
🧿	Око Фатіми	амулет|амулет від вроків|наврочити|назар|намистина|оберіг|Око Фатіми|пристріт|синій|талісман|шарм
🩰	балетні туфлі	балет|балетні туфлі|взуття|пуанти|танець|танцювальні
🩱	суцільний купальник	закритий|костюм для плавання|купальний костюм|плавати|суцільний купальник
🩲	плавки	брифи|купальник|одинарний|плавки|спіднє|труси
🩳	шорти	купальник|плавки|спіднє|труси|шорти
🩴	в’єтнамки	в’єтнамки|взуття|дзорі|море|пісок|пляж|пляжні сандалі|сандалі|шльопанці
🩵	блакитне серце	блакитне серце|блакитний|емоція|люблю|любов|милий|особливий|подобатися|світло-синій|серце|синій|ціановий
🩶	сіре серце	графітовий|емоція|люблю|любов|особливий|серце|сіре серце|сірий|срібний
🩷	рожеве серце	добрий|емоція|люблю|любов|милий|особливий|подобається|рожеве серце|рожевий|серце|солодкий|чарівний
🩸	крапля крові	аналіз крові|донорство крові|крапля крові|критичні дні|кров|кровотеча|медицина|менструація|місячне|стікати кровʼю|травма
🩹	пластир	бандаж|клейка смужка|лейкопластир|наклейка|наліпка|пластир
🩺	стетоскоп	вислухувати серце|лікар|медицина|серце|слухати|стетоскоп
🩻	рентген	кістки|лікар|медицина|рентген|скелет
🩼	милиця	втрата дієздатності|допомога|засіб відновлення здатності рухатися|інвалідність|костур|милиця|поранений|травма|ціпок
🪀	йо-йо	бовтатися|іграшка|йо-йо|крутитися|метлятися|теліпатися|хилитатися
🪁	повітряний змій	витати|линути|літати|літун|підніматися|повітряний змій|ширяти
🪂	парашут	кайт|параплан|парапланеризм|парафойл|парашут|парашут-крило|спорт|стрибки з парашутом|стрибок
🪃	бумеранг	аборигени|австралія|Австралія|бумеранг|віддача|зброя|повернення|полювання|рикошет
🪄	чарівна паличка	абракадабра|ілюзії|магічне шоу|магія|фокуси|чаклун|чаклунка|чарівник
🪅	піньята	вечірка|іграшка|мексика|палиця|піньята|святкування|свято|цукерки
🪆	ляльки-матрьошки	дерев’яна іграшка|дерев’яна лялька|лялька|лялька в ляльці|ляльки-матрьошки|матрьошка|народна іграшка|росія
🪇	маракас	вечірка|інструмент|маракас|музика|танець|ударні інструменти|ча-ча-ча
🪈	флейта	блокфлейта|деревʼяні духові інструменти|дудка|інструмент|музика|сопілка|флейта
🪉	арфа	амур|інструмент|купідон|любов|музика|оркестр
🪊	тромбон	джаз|духовий інструмент|музика|слайд|сумний
🪎	скриня скарбів	багатство|гроші|дорогоцінний камінь|здобич|золото|коштовності|приз|срібло|цінності
🪏	лопата	заступ|копати|могила|поховання|рослина|сад|сніг|совок|яма
🪐	планета з кільцем	планета з кільцем|сатурн|Сатурн
🪑	стілець	крісло|меблі|сидіння|сидіти|стілець
🪒	бритва	бритва|голити|голитися|гостра|лезо|небезпечна
🪓	сокира	деревина|дрова|колоти|розколювати|рубати|сокира|тесати|тяти
🪔	каганець	блимавка|каганець|лампа|лампадка|мигунець|олійна
🪕	банджо	банджо|інструмент|музичний|струнний|щипковий
🪖	військовий шолом	армія|військовий|воїн|каска|солдат|солдатський|шолом
🪗	акордеон	акордеон|баян|гармоніка|інструмент|клавіші|концертина|музика
🪘	циліндричний барабан	барабан|інструмент|конґа|музика|ритм|ударні|циліндричний барабан
🪙	монета	багатство|гроші|долар|євро|золото|метал|монета|скарб|срібло
🪚	теслярська пила	деревина|інструмент|пила|пилка|пиляти|різати|ручна пилка|тесля|теслярська пила
🪛	викрутка	викрутка|гвинт|інструмент|майстерня|пласка викрутка|ремонт|шліц
🪜	драбина	вилізти|драбина|лізти|перекладина|приставна драбина|сходинка|щабель
🪝	гачок	вудка|гак|гачок|комерційний аргумент|крива|кріплення|піймати|принада|риболовля
🪞	дзеркало	відбивач|відображення|декор|дзеркало|інтерʼєр|краса|макіяж|рефлектор
🪟	вікно	будинок|відчинити|вікно|краєвид|прозоре|рама|свіже повітря|скло
🪠	вантуз	вантуз|гумова присоска|закупорення|прочищення|сантехнік|труби|туалет
🪡	швацька голка	вишивання|вушко|голка|голка з ниткою|кравецтво|нитка|нитка з голкою|стібки|швацька голка|шви|шиття
🪢	вузол	вузол|канат|морський вузол|мотузка|петля|плетення|плетиво|трос|шнурок
🪣	відро	бак|відерце|відро|цеберко|чан|шаплик
🪤	мишоловка	мишоловка|пастка|приманка|сильце|сир
🪥	зубна щітка	ванна кімната|гігієна|зуби|зубна|туалет|чистити|щітка
🪦	надгробок	епітафія|кладовище|меморіал|мертвий|могильна плита|надгробок|памʼятник|покійник|смерть|цвинтар
🪧	плакат	гасло|демонстрація|знак|мітинг|пікет|плакат|протест|табличка|транспарант
🪨	камінь	брила|важкий|валун|гірська порода|каменюка|камінь|кругляк|скеля|твердий
🪩	дзеркальна куля	блискучий|вечірка|дзеркальна куля|диско|диско-куля|дискотека|куля|танці|танцювати
🪪	посвідчення	водійське посвідчення|документ|ідентифікаційна картка|ідентифікаційний документ|особові дані|посвідчення|посвідчення особи|пропуск
🪫	низький заряд батареї	батарея|електроніка|низький заряд|низький заряд батареї|розряджена батарея|розряджений|розряджено
🪬	хамса	амулет|долоня|захист|Марія|Мірʼям|провидіння|рука|удача|Фатіма
🪭	складане віяло	охолоджувати|складане віяло|соромитися|танцювати|фліртувати
🪮	гребінь	афро|волосся|гребінь|розчісувати
🪯	кханда	віра|кханда|релігія|сикх|сикхізм
🪰	муха	гниль|дзижчання|комаха|крила|личинка|муха|хвороба|шкідник
🪱	хробак	дощовий хробак|дощовий червʼяк|земляний червʼяк|кільчастий черв|наживка|паразит|тварина|хробак|червʼяк
🪲	жук	бронзівка|жук|жучок|комаха|кузка|кузька|тварина
🪳	тарган	комаха|непроханий гість|паразит|прусак|прусак рудий|тарган|тварина|шкідник
🪴	рослина в горщику	вазон|вирощувати|горщик|декор|догляд|домашня|кімнатна|рослина
🪵	деревина	деревина|дерево|колода|лісоматеріал|пень|пеньок|річні кільця|рубати
🪶	пір’їна	невагома|оперення|перо|пір’їна|пір’я|політ|птах
🪷	лотос	безтурботність|буддизм|врівноваженість|гармонія|індуїзм|квітка|краса|лад|лотос|мир|символ чистоти|спокій
🪸	корал	зміна клімату|корал|море|океан|риф
