0️⃣	tecla: 0	0|cero|tecla
🦠	microbio	ameba|bacteria|germen|microbio|virus
🦡	tejón	ratel|tejón|tejón de la miel|tejón melero
🦢	cisne	ave|cisne|patito feo
🦣	mamut	colmillo|extinguido|lanudo|mamut
🦤	dodo	ave|dodo|dronte|extinguido|Mauricio|pájaro
🦥	perezoso	gandul|lento|perezoso|vago
🦦	nutria	bromista|juguetón|nutria|pesca
🦧	orangután	mono|orangután|primate|simio
🦨	mofeta	apestar|hedor|mal olor|mofeta|peste|tufo
🦩	flamenco	extravangante|flamenco|ostentoso|tropical
🦪	ostra	buceo|ostra|perla
🦫	castor	castor|roedor
🦬	bisonte	bisonte|búfalo|cíbolo
🦭	foca	foca|león marino
🦮	perro guía	accesibilidad|ciego|guía|invidente|lazarillo|perro guía
🦯	bastón	accesibilidad|bastón|ceguera|ciega|ciego|invidente
🦴	hueso	esqueleto|hueso
🦵	pierna	extremidad|patada|pierna
🦶	pie	patada|pie|pisotón
🦷	diente	dentista|diente|molar|muela
🦸	personaje de superhéroe	bien|héroe|heroína|personaje de superhéroe|superhéroe|superheroína|superpoder
🦸‍♀️	superheroína	bondad|héroe|heroína|mujer|superhéroe|superheroína|superpoder
🦸‍♂️	superhéroe	bueno|héroe|hombre|superhéroe|superhombre|superpoder
🦹	personaje de supervillano	mal|personaje de supervillano|superpoder|supervillana|supervillano|villana|villano
🦹‍♀️	supervillana	mal|malvada|mujer|supervillana|villana
🦹‍♂️	supervillano	hombre|mal|malvado|supervillano|villano
🦺	chaleco de seguridad	chaleco|chaleco de seguridad|emergencia|seguridad
🦻	oreja con audífono	accesibilidad|audífono|oreja con audífono|prótesis auditiva|sordo
🦼	silla de ruedas eléctrica	accesibilidad|silla de ruedas eléctrica
🦽	silla de ruedas manual	accesibilidad|silla de ruedas manual
🦾	brazo mecánico	accesibilidad|brazo mecánico|ortopedia|prótesis
🦿	pierna mecánica	accesibilidad|ortopedia|pierna mecánica|prótesis
🧀	cuña de queso	cuña|cuña de queso|queso|trozo
🧁	magdalena	cupcake|dulce|magdalena|repostería
🧂	sal	condimento|sal|salero
🧃	tetrabrik	brick|cartón|envase|tetrabrik|zumo
🧄	ajo	ajo|condimento|vampiro
🧅	cebolla	cebolla|condimento|llorar
🧆	falafel	albóndiga|falafel|garbanzo
🧇	gofre	gofre|waffle
🧈	mantequilla	lácteo|mantequilla
🧉	mate	bebida|infusión|mate
🧊	cubito de hielo	cubito de hielo|frío|iceberg
🧋	té de burbujas	boba|bubble tea|burbuja|leche|perla|té|té de burbujas
🧌	trol	cuento de hadas|fantasía|monstruo|trol
🧍	persona de pie	de pie|levantada|levantado|levantarse|persona de pie
🧍‍♀️	mujer de pie	de pie|levantada|levantarse|mujer|mujer de pie
🧍‍♂️	hombre de pie	de pie|hombre|hombre de pie|levantado|levantarse
🧎	persona de rodillas	arrodillada|arrodillado|arrodillarse|de rodillas|persona de rodillas
🧎‍♀️	mujer de rodillas	arrodillada|arrodillarse|de rodillas|mujer|mujer de rodillas
🧎‍♂️	hombre de rodillas	arrodillado|arrodillarse|de rodillas|hombre|hombre de rodillas
🧏	persona sorda	accesibilidad|escuchar|oído|oír|persona sorda|sordera
🧏‍♀️	mujer sorda	mujer|sorda|sordera
🧏‍♂️	hombre sordo	hombre|sordera|sordo
🧐	cara con monóculo	aristocrático|cara con monóculo|estirado
🧑	persona adulta	género|neutro|persona adulta
🧑‍⚕️	profesional sanitario	doctor|enfermero|médico|profesional sanitario|salud|terapeuta
🧑‍⚖️	fiscal	fiscal|juez|juicio|magistrado
🧑‍✈️	piloto	avión|capitán|piloto|vuelo
🧑‍🌾	profesional de la agricultura	agricultor|cultivador|granjero|jardinero|labrador|profesional de la agricultura
🧑‍🍳	chef	chef|cocinero|cocinillas|guisandero|pinche
🧑‍🍼	persona alimentando a bebé	alimentar|amamantar|bebé|lactancia|persona|persona alimentando a bebé
🧑‍🎄	Noel	celebración|claus|cuento|fantasía|feliz|fiestas|Navidad|Noel|santa
🧑‍🎓	estudiante	estudiante|graduado|licenciado|universitario
🧑‍🎤	cantante	artista|cantante|estrella|rock
🧑‍🎨	artista	artista|paleta|pintor|pinturas
🧑‍🏫	docente	docente|educador|enseñanza|instructor|maestro|profesor
🧑‍🏭	profesional industrial	fábrica|montaje|obrero|operario|profesional industrial|trabajador
🧑‍💻	profesional de la tecnología	desarrollador|informático|profesional de la tecnología|programador|software|tecnólogo
🧑‍💼	oficinista	arquitecto|director|ejecutivo|empresa|oficinista
🧑‍🔧	profesional de la mecánica	electricista|fontanero|mecánico|operario|profesional de la mecánica|técnico
🧑‍🔬	profesional de la ciencia	biólogo|científico|físico|investigador|profesional de la ciencia|químico
🧑‍🚀	astronauta	astronauta|cohete|espacio
🧑‍🚒	bombero	bombero|camión|manguera
🧑‍🤝‍🧑	dos personas de la mano	dos personas de la mano|mano|pareja|persona
🧑‍🦯	persona con bastón	accesibilidad|ciego|invidente|persona con bastón
🧑‍🦼	persona en silla de ruedas eléctrica	accesibilidad|persona en silla de ruedas eléctrica|silla de ruedas
🧑‍🦽	persona en silla de ruedas manual	accesibilidad|persona en silla de ruedas manual|silla de ruedas
🧑‍🧑‍🧒	familia: adulto, adulto, niño	adulto|familia|niño
🧑‍🧑‍🧒‍🧒	familia: adulto, adulto, niño, niño	adulto|familia|niño
🧑‍🧒	familia: adulto, niño	adulto|familia|niño
🧑‍🧒‍🧒	familia: adulto, niño, niño	adulto|familia|niño
🧑‍🩰	bailarina de ballet	bailarín|bailarina|ballet
🧒	infante	crío|género|infante|joven|neutro
🧓	persona mayor	adulto|género neutro|género no especificado|maduro|mayor|persona mayor
🧔	persona con barba	barbas|barbudo|persona|persona con barba
🧔‍♀️	mujer: barba	barba|mujer|mujer: barba
🧔‍♂️	hombre: barba	barba|hombre|hombre: barba
🧕	mujer con hiyab	hiyab|mujer con hiyab|pañuelo
🧖	persona en una sauna	persona en una sauna|sauna|vapor
🧖‍♀️	mujer en una sauna	mujer en una sauna|sauna|vapor
🧖‍♂️	hombre en una sauna	hombre en una sauna|sauna|vapor
🧗	persona escalando	alpinista|escalador|persona escalando
🧗‍♀️	mujer escalando	alpinista|escaladora|mujer escalando
🧗‍♂️	hombre escalando	alpinista|escalador|hombre escalando
🧘	persona en posición de loto	meditación|persona en posición de loto|yoga
🧘‍♀️	mujer en posición de loto	meditación|mujer en posición de loto|yoga
🧘‍♂️	hombre en posición de loto	hombre en posición de loto|meditación|yoga
🧙	persona maga	bruja|brujo|hechicera|hechicero|persona maga
🧙‍♀️	maga	bruja|hechicera|maga
🧙‍♂️	mago	brujo|hechicero|mago
🧚	hada	campanilla|hada|oberón|puck|titania
🧚‍♀️	hada mujer	campanilla|hada|hada mujer|titania
🧚‍♂️	hada hombre	hada|hada hombre|oberón|puck
🧛	vampiro	drácula|muerto viviente|no muerto|vampiro
🧛‍♀️	vampiresa	muerta viviente|no muerta|vampiresa
🧛‍♂️	vampiro hombre	drácula|muerto viviente|no muerto|vampiro hombre
🧜	persona sirena	persona sirena|sirena|tritón
🧜‍♀️	sirena	sirena
🧜‍♂️	sirena hombre	sirena|sirena hombre|tritón
🧝	elfo	elfo|mágico
🧝‍♀️	elfa	elfa|mágico|mujer
🧝‍♂️	elfo hombre	elfo|elfo hombre|mágico
🧞	genio	genio|lámpara
🧞‍♀️	genio mujer	genio|genio mujer|lámpara
🧞‍♂️	genio hombre	djinn|genio|genio hombre|lámpara
🧟	zombi	muerto viviente|no muerto|zombi
🧟‍♀️	zombi mujer	caminante|muerta viviente|no muerta|zombi mujer
🧟‍♂️	zombi hombre	caminante|muerto viviente|no muerto|zombi hombre
🧠	cerebro	cerebro|inteligente
🧡	corazón naranja	corazón|emoción|naranja
🧢	gorra con visera	béisbol|gorra|gorra con visera|visera
🧣	bufanda	abrigo|bufanda|cuello
🧤	guantes	guantes|mano
🧥	abrigo	abrigo|chaquetón
🧦	calcetines	calcetines|pies|ropa
🧧	sobre rojo	buena suerte|hóngbāo|lai see|regalo|sobre rojo
🧨	petardo	dinamita|explosivo|fuegos artificiales|petardo
🧩	pieza de puzle	conectar|pieza|pieza de puzle|pista|puzle|rompecabezas
🧪	tubo de ensayo	ciencia|experimento|laboratorio|química|químico|tubo de ensayo
🧫	placa de petri	bacterias|biología|biólogo|cultivo|laboratorio|placa de petri
🧬	adn	adn|biólogo|evolución|gen|genética|vida
🧭	brújula	brújula|compás|magnético|navegación|orientación
🧮	ábaco	ábaco|cálculo|contar|matemáticas
🧯	extintor	apagar|extinguir|extintor|incendio
🧰	caja de herramientas	armario|caja de herramientas|herramienta|mecánico
🧱	ladrillo	arcilla|cemento|ladrillo|muro|pared
🧲	imán	atracción|herradura|imán|magnético
🧳	equipaje	equipaje|maleta|viajar
🧴	bote de crema	bote de crema|champú|crema|hidratante|protector solar
🧵	hilo	aguja|carrete|coser|costura|hilo
🧶	ovillo	bola|croché|ovillo|punto|tejer
🧷	imperdible	imperdible|pañal|punk rock
🧸	osito de peluche	juguete|osito de peluche|oso|peluche
🧹	escoba	barrer|bruja|escoba|fregar
🧺	cesta	cesta|colada|cosecha|pícnic
🧻	rollo de papel	papel absorbente|papel higiénico|rollo de papel
🧼	jabón	bañarse|enjabonarse|jabón|jabonera|lavarse|pastilla
🧽	esponja	absorbente|esponja|limpiar|poroso
🧾	recibo	contabilidad|prueba|recibo|teneduría de libros|testimonio
🧿	ojo turco	amuleto|mal de ojo|nazar|ojo turco|talismán
🩰	zapatillas de ballet	bailar|balé|ballet|danza|zapatillas de ballet
🩱	traje de baño de una pieza	bañador|traje de baño de una pieza
🩲	ropa interior	bañador|bragas|braguitas|calzoncillos|ropa interior|slip
🩳	pantalones cortos	bañador|bermudas|calzoncillos|pantalones cortos|ropa interior|shorts
🩴	chancla	chancla|chancla de dedo|chancleta|chinela|sandalia
🩵	corazón azul claro	azul|celeste|cián|claro|corazón
🩶	corazón gris	corazón|gris|pizarra|plata
🩷	corazón rosa	amor|bonito|corazón|gustar|rosa
🩸	gota de sangre	donación de sangre|donar sangre|gota de sangre|herida|medicina|sangre
🩹	tirita	apósito|tirita
🩺	estetoscopio	corazón|doctor|estetoscopio|fonendoscopio|latido|medicina|médico
🩻	radiografía	doctor|doctora|esqueleto|huesos|médico|radiografía|rayos
🩼	muleta	ayuda para la movilidad|bastón|discapacidad|lesión|muleta|palo
🪀	yoyó	dieta|efecto|fluctuar|juguete|yoyó
🪁	cometa	cometa|juguete|planear|viento|volar
🪂	paracaídas	ala delta|paracaídas|paracaidismo|paravela|volar
🪃	bumerán	boomerang|bumerán|rebotar
🪄	varita mágica	bruja|hechicero|magia|mago|prestidigitación|varita|varita mágica
🪅	piñata	caballito|celebración|fiesta|piñata
🪆	muñeca rusa	babushka|mamushka|matrioska|muñeca rusa|rusia
🪇	maracas	agitar|brasil|instrumento|maracas|movimiento|música|percusión
🪈	flauta	flauta|flautín|instrumento|instrumento de viento madera|música
🪉	arpa	amor|arpa|cupido|harpa|instrumento|música|orquesta
🪊	trombón	instrumento|jazz|metal|música|triste|viento
🪎	cofre de tesoro	botín|dinero|joyas|objetos de valor|oro|piedras preciosas|plata|premio|riqueza
🪏	pala	agujero|cavar|enterrar|excavar|hoyo|huerto|nieve|pala|planta
🪐	planeta con anillos	planeta con anillos|saturnino|saturno
🪑	silla	asiento|sentarse|silla
🪒	cuchilla de afeitar	afeitado|afeitar|afilado|barbero|cuchilla de afeitar|navaja
🪓	hacha	cortar|dividir|hacha|hachuela|madera|talar
🪔	lámpara de aceite	aceite|diya|lámpara|lámpara de aceite
🪕	banjo	banjo|banyo|cuerda|instrumento|música
🪖	casco militar	casco|casco militar|ejército|guerra|guerrero|soldado
🪗	acordeón	acordeón|concertina
🪘	tamboril	conga|ritmo|tambor|tamboril
🪙	moneda	dinero|metal|moneda|oro|plata|tesoro
🪚	sierra de carpintería	carpintería|carpintero|herramienta|sierra|sierra de carpintería|talar
🪛	destornillador	atornillador|destornillador|herramienta|tornillo
🪜	escalera	escalar|escalera|escalerilla|escalón|peldaño
🪝	gancho	agarrar|anzuelo|atrapar|gancho|garfio
🪞	espejo	espéculo|espejo|reflector|reflejo
🪟	ventana	abertura|apertura|cristal|marco|transparente|ventana|vista
🪠	desatascador	desatascador|fontanero|retrete|servicio|succión
🪡	aguja de coser	aguja|aguja de coser|bordado|coser|hilar|punto|tejer
🪢	nudo	anudar|atar|enredar|nudo|trenzar
🪣	cubo	balde|barreño|cuba|cubeta|cubo
🪤	trampa de ratones	cebo|cepo|engañar|ratón|ratonera|trampa|trampa de ratones
🪥	cepillo de dientes	cepillo|cepillo de dientes|dental|higiene|limpio|servicio
🪦	lápida	cementario|estela|lápida|sepulcro|tumba
🪧	letrero	anuncio|aviso|cartel|letrero|pancarta|poste
🪨	piedra	pedrusco|peña|peñasco|piedra|roca
🪩	bola de espejos	bailar|bola de espejos|brillar|disco|discoteca|fiesta
🪪	carné de identidad	carné de conducir|carné de identidad|credenciales|identificación|permiso|seguridad
🪫	batería baja	batería|batería baja|carga baja|electrónico|energía baja|pila
🪬	hamsa	amuleto|Fátima|hamsa|jamsa|mano|María|Miriam
🪭	abanico abierto	abanico|abanico abierto|airear|bailar|calor|feria|flamenco
🪮	peineta	afro|peine|peineta|pelo
🪯	khanda	khanda|religión|sij|sijismo|sikh
🪰	mosca	basura|bicho|mal olor|mosca|podrido
🪱	gusano	gusano|lombriz|oruga|parásito
🪲	escarabajo	bicho|escarabajo|insecto
🪳	cucaracha	alimaña|bicho|cucaracha|insecto|plaga
🪴	planta de maceta	crecer|maceta|planta|planta de maceta|tiesto
🪵	madera	hoguera|leña|madera|madero|palos|tronco
🪶	pluma	ave|ligero|pájaro|pluma|plumaje
🪷	loto	budismo|flor|hinduismo|loto|pureza
🪸	coral	arrecife|coral|océano
🪹	nido vacío	anidación|anidamiento|anidar|nido vacío
🪺	nido con huevos	anidación|anidamiento|anidar|nido con huevos
🪻	campanilla	boca de dragón|campanilla|flor|jacinto|lavanda|lila|lupino
🪼	medusa	invertebrado|marino|medusa|picadura|picar
🪽	ala	ala|ángel|angelical|ave|mitología|pájaro|volar
🪾	árbol sin hojas	árbol|deshojado|estéril|invierno|madera|muerto|ramas|sequía|sin hojas|tronco
🪿	oca	ave|ganso|graznar|oca|pájaro
🫀	corazón humano	anatomía|cardiología|corazón|corazón humano|latido|órgano|pulso
🫁	pulmones	exhalar|inhalar|órgano|pulmones|respiración|respirar
🫂	personas abrazándose	abrazo|adiós|despedida|gracias|personas abrazándose|saludo
🫃	hombre embarazado	barriga|embarazado|hinchado|hinchazón|hombre embarazado|inflado|lleno
🫄	persona embarazada	barriga|embarazo|gestación|hinchazón|persona embarazada
🫅	persona con corona	majestad|monarca|monarquía|noble|persona con corona|real|realeza
🫆	huella dactilar	delito|detective|forense|huella|huella dactilar|huella digital|identidad|misterio|rastro|seguridad
🫈	criatura peluda	bigfoot|bosque|críptido|gigante|monstruo|peludo|sasquatch|yeti
🫍	orca	ballena|mar|marino|océano
🫎	alce	alce|animal|asta|ciervo canadiense|cuernos|mamífero|uapití
🫏	burro	animal|asno|borrico|burro|mamífero|mula|terco
🫐	arándanos	arándano|arándanos|azul|baya|frutos del bosque|mirtilo
🫑	pimiento	ají|chile|morrón|pimiento|rojo|verdura
🫒	aceituna	aceituna|aperitivo|comida|oliva
🫓	pan sin levadura	arepa|naan|pan sin levadura|pita|tortilla
🫔	tamal	mejicano|mexicano|tamal|wrap
🫕	fondue	chocolate|fondue|olla|queso|suizo
🫖	tetera	bebida|infusión|té|tetera
🫗	líquido derramándose	bebida|derramar|líquido derramándose|vacío|vaso|verter
🫘	alubias	alubias|comida|habichuela roja|habichuelas|judía roja|judías|legumbre
🫙	tarro	almacenar|condimento|frasco|recipiente|salsa|tarro|vacío
🫚	raíz de jengibre	cerveza|especia|garganta|raíz|raíz de jengibre
🫛	vaina	edamame|guisante|judías|legumbre|soja|vaina|verdura
🫜	túberculo comestible	chirivía|comida|ensalada|huerto|nabo|rábano|raíz|remolacha|vegetariano|verdura
🫟	salpicadura	gotear|líquido|mancha|manchar|pintura|salpicadura|salpicar|tinta
🫠	cara derritiéndose	calor|cara derritiéndose|derretido|derretirse|desaparecer|fundirse|líquido
🫡	cara saludando	cara saludando|ejército|orden|saludo|sí|sol|vale
🫢	cara con ojos abiertos y boca tapada	alucinar|asombro|cara con ojos abiertos y boca tapada|increíble|sorpresa|vergüenza
🫣	cara tapada con ojo espiando	cara tapada con ojo espiando|espiar|fascinado|mirar|vistazo
🫤	cara con boca diagonal	cara con boca diagonal|decepción|decepcionado|escéptico|inseguro|jo|vaya
🫥	cara con línea de puntos	cara con línea de puntos|depresivo|deprimido|desaparecer|esconderse|introvertido|invisible
🫦	labio mordido	ansioso|incómodo|labio mordido|ligar|miedo|nervioso|preocupado
🫧	burbujas	bajo el agua|burbujas|eructar|jabón|limpiar
🫨	cara temblorosa	cara temblorosa|shock|temblar|terremoto|vibrar
🫩	cara con ojeras	agotado|agotamiento|cansado|cansancio|cara|extenuación|extenuado|ojeras|ojos|sueño
🫪	cara deformada	ansiedad|conmocionado|hinchado|pánico|sorprendido|vulnerable
🫯	nube de pelea	alboroto|altercado|bronca|desacuerdo|discusión|lucha|pelea
🫰	mano con dedo índice y pulgar cruzados	amor|caro|chasquido|corazón|dinero|mano con dedo índice y pulgar cruzados
🫱	mano hacia la derecha	a la derecha|derecha|mano|mano hacia la derecha
🫲	mano hacia la izquierda	a la izquierda|izquierda|mano|mano hacia la izquierda
🫳	mano con la palma hacia abajo	bajar|descartar|fuera|mano con la palma hacia abajo|no|quita|rechazar
🫴	mano con la palma hacia arriba	acércate|dame|mano con la palma hacia arriba|ofrecer|trae|ven
🫵	dedo índice apuntándote a ti	apuntar|dedo índice apuntándote a ti|ti|tú
🫶	manos formando un corazón	amor|manos formando un corazón
🫷	mano empujando hacia la izquierda	a la izquierda|choca esos cinco|detener|empujar|mano empujando hacia la izquierda|rechazar|stop
🫸	mano empujando hacia la derecha	a la derecha|choca esos cinco|detener|empujar|mano empujando hacia la derecha|rechazar|stop
